time,Channel A Last (V),Channel B Last (V)
1681199912,1.039,0.126
1681199912,1.036,0.125
1681199912,1.036,0.12
1681199912,1.038,0.118
1681199912,1.041,0.128
1681199912,1.039,0.126
1681199912,1.039,0.131
1681199912,1.037,0.117
1681199912,1.035,0.135
1681199913,1.037,0.118
1681199913,1.039,0.124
1681199913,1.036,0.126
1681199913,1.039,0.136
1681199913,1.036,0.134
1681199913,1.04,0.12
1681199913,1.039,0.123
1681199913,1.039,0.125
1681199913,1.036,0.12
1681199913,1.039,0.134
1681199913,1.038,0.127
1681199913,1.039,0.121
1681199913,1.04,0.121
1681199913,1.037,0.12
1681199913,1.037,0.128
1681199913,1.041,0.131
1681199913,1.037,0.122
1681199913,1.038,0.119
1681199913,1.041,0.124
1681199913,1.035,0.124
1681199914,1.037,0.134
1681199914,1.038,0.125
1681199914,1.037,0.127
1681199914,1.035,0.12
1681199914,1.037,0.117
1681199914,1.038,0.126
1681199914,1.037,0.122
1681199914,1.038,0.133
1681199914,1.036,0.122
1681199914,1.044,0.144
1681199914,1.036,0.117
1681199914,1.039,0.119
1681199914,1.038,0.112
1681199914,1.039,0.127
1681199914,1.037,0.129
1681199914,1.039,0.122
1681199914,1.038,0.119
1681199914,1.038,0.118
1681199914,1.038,0.12
1681199914,1.036,0.126
1681199915,1.038,0.121
1681199915,1.042,0.123
1681199915,1.039,0.126
1681199915,1.037,0.124
1681199915,1.039,0.132
1681199915,1.038,0.121
1681199915,1.034,0.126
1681199915,1.038,0.126
1681199915,1.04,0.124
1681199915,1.037,0.122
1681199915,1.038,0.122
1681199915,1.037,0.116
1681199915,1.036,0.122
1681199915,1.034,0.112
1681199915,1.034,0.121
1681199915,1.038,0.117
1681199915,1.036,0.118
1681199915,1.037,0.13
1681199915,1.039,0.127
1681199915,1.032,0.123
1681199916,1.037,0.124
1681199916,1.036,0.119
1681199916,1.038,0.122
1681199916,1.036,0.122
1681199916,1.033,0.12
1681199916,1.037,0.118
1681199916,1.035,0.121
1681199916,1.034,0.121
1681199916,1.035,0.125
1681199916,1.038,0.123
1681199916,1.042,0.129
1681199916,1.036,0.126
1681199916,1.035,0.123
1681199916,1.035,0.12
1681199916,1.035,0.124
1681199916,1.04,0.132
1681199916,1.038,0.125
1681199916,1.035,0.123
1681199916,1.035,0.13
1681199916,1.04,0.129
1681199917,1.036,0.126
1681199917,1.037,0.123
1681199917,1.039,0.128
1681199917,1.038,0.124
1681199917,1.034,0.129
1681199917,1.041,0.13
1681199917,1.035,0.125
1681199917,1.038,0.119
1681199917,1.038,0.115
1681199917,1.038,0.129
1681199917,1.04,0.12
1681199917,1.037,0.125
1681199917,1.039,0.124
1681199917,1.038,0.123
1681199917,1.037,0.126
1681199917,1.039,0.125
1681199917,1.034,0.124
1681199917,1.038,0.125
1681199917,1.034,0.128
1681199917,1.039,0.124
1681199918,1.038,0.121
1681199918,1.037,0.115
1681199918,1.037,0.122
1681199918,1.04,0.114
1681199918,1.037,0.118
1681199918,1.038,0.114
1681199918,1.037,0.123
1681199918,1.035,0.117
1681199918,1.041,0.122
1681199918,1.037,0.119
1681199918,1.037,0.118
1681199918,1.035,0.073
1681199918,1.037,0.129
1681199918,1.04,0.124
1681199918,1.039,0.121
1681199918,1.038,0.125
1681199918,1.039,0.124
1681199918,1.036,0.121
1681199918,1.038,0.125
1681199918,1.036,0.131
1681199919,1.04,0.124
1681199919,1.034,0.117
1681199919,1.037,0.131
1681199919,1.039,0.126
1681199919,1.035,0.124
1681199919,1.039,0.127
1681199919,1.038,0.127
1681199919,1.034,0.117
1681199919,1.038,0.119
1681199919,1.034,0.118
1681199919,1.038,0.135
1681199919,1.036,0.123
1681199919,1.036,0.12
1681199919,1.038,0.122
1681199919,1.036,0.123
1681199919,1.039,0.127
1681199919,1.038,0.125
1681199919,1.039,0.123
1681199919,1.037,0.121
1681199919,1.036,0.117
1681199920,1.034,0.12
1681199920,1.034,0.122
1681199920,1.038,0.12
1681199920,1.04,0.122
1681199920,1.033,0.117
1681199920,1.038,0.128
1681199920,1.038,0.122
1681199920,1.039,0.126
1681199920,1.038,0.123
1681199920,1.035,0.127
1681199920,1.038,0.125
1681199920,1.037,0.117
1681199920,1.038,0.125
1681199920,1.038,0.128
1681199920,1.036,0.127
1681199920,1.035,0.126
1681199920,1.038,0.122
1681199920,1.034,0.129
1681199920,1.037,0.118
1681199920,1.037,0.122
1681199921,1.037,0.129
1681199921,1.036,0.117
1681199921,1.038,0.126
1681199921,1.04,0.121
1681199921,1.036,0.121
1681199921,1.037,0.117
1681199921,1.038,0.123
1681199921,1.032,0.124
1681199921,1.037,0.121
1681199921,1.037,0.121
1681199921,1.036,0.116
1681199921,1.034,0.123
1681199921,1.034,0.126
1681199921,1.037,0.124
