Time,Channel A Last (V),Channel B Last (V)
1681203296,1.001,0.08
1681203296,1.001,0.069
1681203296,0.999,0.053
1681203296,1,0.059
1681203296,1,0.053
1681203296,1.001,0.076
1681203296,0.999,0.053
1681203296,0.998,0.039
1681203296,1.003,0.066
1681203296,0.994,-0.023
1681203296,1,0.009
1681203296,1.002,0.099
1681203296,0.998,0.096
1681203296,0.998,0.078
1681203296,0.998,0.118
1681203296,0.996,0.036
1681203296,1.001,0.097
1681203296,1,0.057
1681203296,1,0.046
1681203296,0.997,0.05
1681203297,1.002,0.086
1681203297,1,0.056
1681203297,0.995,0.09
1681203297,1.001,0.05
1681203297,0.996,0.05
1681203297,0.997,0.035
1681203297,0.997,0.071
1681203297,0.999,0.078
1681203297,1,0.062
1681203297,1,0.094
1681203297,0.996,0.061
1681203297,0.999,0.08
1681203297,1,0.079
1681203297,0.998,0.039
1681203297,1,0.062
1681203297,1.001,0.05
1681203297,0.999,0.076
1681203297,0.999,0.062
1681203297,1.002,0.074
1681203297,0.999,0.053
1681203298,1,0.057
1681203298,0.995,0.05
1681203298,1.001,0.057
1681203298,0.998,0.053
1681203298,0.998,0.07
1681203298,1.002,0.061
1681203298,0.999,0.071
1681203298,0.997,0.055
1681203298,0.997,0.069
1681203298,0.999,0.061
1681203298,1,0.067
1681203298,0.997,0.066
1681203298,1.001,0.068
1681203298,0.998,0.058
1681203298,0.998,0.066
1681203298,1.001,0.057
1681203298,0.998,0.056
1681203298,0.997,0.055
1681203298,0.997,0.057
1681203298,1.002,0.058
1681203299,1.002,0.069
1681203299,0.998,0.063
1681203299,1,0.068
1681203299,1.002,0.061
1681203299,1,0.063
1681203299,0.997,0.069
1681203299,0.997,0.057
1681203299,1.001,0.056
1681203299,0.999,0.063
1681203299,0.998,0.065
1681203299,0.998,0.065
1681203299,0.998,0.059
1681203299,1.002,0.063
1681203299,0.998,0.063
1681203299,1.001,0.059
1681203299,0.998,0.072
1681203299,0.999,0.062
1681203299,1.001,0.065
1681203299,0.999,0.068
1681203299,1.001,0.066
1681203300,0.997,0.064
1681203300,0.998,0.061
1681203300,0.996,0.06
1681203300,1.001,0.064
1681203300,0.998,0.068
1681203300,0.998,0.062
1681203300,1.003,0.062
1681203300,1,0.063
1681203300,1,0.062
1681203300,0.999,0.067
1681203300,0.999,0.064
1681203300,1,0.063
1681203300,0.999,0.066
1681203300,0.998,0.057
1681203300,0.998,0.06
1681203300,0.999,0.063
1681203300,0.999,0.061
1681203300,0.998,0.061
1681203300,1.001,0.069
1681203300,1.001,0.063
1681203301,1,0.063
1681203301,0.999,0.061
1681203301,0.998,0.062
1681203301,0.998,0.063
1681203301,0.999,0.058
1681203301,1,0.067
1681203301,1,0.052
1681203301,1,0.058
1681203301,0.998,0.063
1681203301,0.995,0.062
1681203301,0.999,0.062
1681203301,1,0.068
1681203301,0.999,0.065
1681203301,1.002,0.057
1681203301,1.001,0.061
1681203301,0.998,0.062
1681203301,0.999,0.06
1681203301,1.001,0.065
1681203301,1.001,0.069
1681203301,1.001,0.066
1681203302,0.999,0.067
1681203302,1,0.061
1681203302,0.999,0.063
1681203302,0.999,0.061
1681203302,1,0.062
1681203302,0.998,0.054
1681203302,0.998,0.062
1681203302,0.999,0.058
1681203302,1,0.066
1681203302,0.998,0.067
1681203302,1,0.059
1681203302,0.999,0.059
1681203302,1,0.062
1681203302,0.997,0.063
1681203302,1,0.065
1681203302,1,0.059
1681203302,1,0.069
1681203302,0.997,0.061
1681203302,0.999,0.056
1681203302,0.996,0.071
1681203303,0.998,0.06
1681203303,0.997,0.06
1681203303,0.998,0.056
1681203303,0.998,0.054
1681203303,0.994,0.056
1681203303,0.999,0.062
1681203303,0.998,0.072
1681203303,1,0.064
1681203303,0.999,0.065
1681203303,1,0.061
1681203303,1,0.061
1681203303,0.999,0.06
1681203303,0.999,0.063
1681203303,1.003,0.067
1681203303,1.001,0.063
1681203303,0.998,0.054
1681203303,0.997,0.062
1681203303,0.999,0.057
1681203303,0.999,0.065
1681203303,0.999,0.068
1681203304,1,0.057
1681203304,1.002,0.062
1681203304,0.997,0.074
1681203304,0.999,0.066
1681203304,1,0.064
1681203304,0.999,0.059
1681203304,1,0.07
1681203304,1.001,0.058
1681203304,1.008,0.042
1681203304,1.002,0.067
1681203304,0.997,0.058
1681203304,0.999,0.07
1681203304,0.999,0.063
1681203304,0.999,0.062
1681203304,1,0.065
1681203304,1,0.06
1681203304,0.999,0.068
1681203304,1.001,0.058
1681203304,0.999,0.067
1681203304,0.997,0.055
1681203305,1.001,0.068
1681203305,0.997,0.065
1681203305,0.999,0.057
1681203305,1,0.063
1681203305,1.001,0.066
1681203305,1,0.055
1681203305,1.001,0.055
1681203305,1,0.062
1681203305,1.002,0.063
1681203305,0.996,0.064
1681203305,1,0.069
1681203305,1.001,0.057
1681203305,0.997,0.06
1681203305,0.998,0.065
1681203305,1.004,0.069
1681203305,0.998,0.063
1681203305,1,0.063
1681203305,0.999,0.071
1681203305,1.002,0.063
1681203305,1,0.062
1681203306,1.001,0.059
1681203306,1,0.056
1681203306,0.998,0.067
1681203306,0.999,0.059
1681203306,1.001,0.06
1681203306,1,0.061
1681203306,1,0.058
1681203306,0.998,0.065
1681203306,1,0.055
1681203306,1,0.095
1681203306,1,0.069
1681203306,1.001,0.069
1681203306,1.004,0.061
1681203306,0.998,0.064
1681203306,0.999,0.064
1681203306,1.001,0.063
1681203306,1.001,0.061
1681203306,0.997,0.063
1681203306,1,0.066
1681203306,1,0.058
1681203307,1.004,0.06
1681203307,1.002,0.064
1681203307,1,0.065
1681203307,0.999,0.059
1681203307,1.001,0.063
1681203307,1,0.061
1681203307,1.001,0.058
1681203307,0.998,0.066
1681203307,0.999,0.062
1681203307,0.997,0.064
1681203307,0.999,0.073
1681203307,1.001,0.062
1681203307,0.997,0.063
1681203307,0.999,0.058
1681203307,1,0.07
1681203307,1,0.061
1681203307,0.998,0.067
1681203307,0.997,0.067
1681203307,1,0.063
1681203307,0.997,0.062
1681203308,0.997,0.056
1681203308,1.001,0.065
1681203308,0.999,0.065
1681203308,0.999,0.063
1681203308,0.998,0.07
1681203308,0.998,0.057
1681203308,0.996,0.058
1681203308,1.001,0.066
1681203308,0.999,0.064
1681203308,1,0.066
1681203308,0.998,0.069
1681203308,1,0.069
1681203308,0.999,0.059
1681203308,0.998,0.059
1681203308,0.999,0.063
1681203308,0.995,0.07
1681203308,0.997,0.072
1681203308,0.999,0.069
1681203308,0.998,0.062
1681203308,1.002,0.063
1681203309,0.998,0.067
1681203309,1.002,0.059
1681203309,0.999,0.061
1681203309,0.999,0.071
1681203309,1,0.062
1681203309,1.003,0.064
1681203309,1.002,0.059
1681203309,0.999,0.069
1681203309,1.001,0.06
1681203309,0.998,0.064
1681203309,0.997,0.073
1681203309,1.001,0.061
1681203309,0.999,0.057
1681203309,0.997,0.074
1681203309,0.998,0.065
1681203309,1,0.064
1681203309,0.999,0.061
1681203309,1.003,0.061
1681203309,1,0.06
1681203309,0.995,0.072
1681203310,1.001,0.055
1681203310,1,0.105
1681203310,0.997,0.057
1681203310,0.998,0.04
1681203310,0.999,0.108
1681203310,0.998,0.042
1681203310,0.995,0.065
1681203310,0.996,0.08
1681203310,1.002,0.088
1681203310,0.995,0.065
1681203310,0.994,0.061
1681203310,0.996,0.055
1681203310,0.999,0.05
1681203310,0.999,0.069
1681203310,0.998,0.046
1681203310,0.999,0.062
1681203310,0.997,0.059
