Nb bouteilles prototype;Nb bouteilles Sick;Nb bouteilles antenne
20;0;15
41;0;40
100;0;99
100;0;99
149;0;99
63;0;63
172;0;167
7;0;5
70;0;71
135;0;85
23;0;12


