Detec n° ;Filter n° ;Data n°  ;Prototype ;Sick ;Antenna ;Ratio 
3;6;1;937;60;55;1632.6515
3;6;2;70;156;179;41.98897
3;7;1;1108;60;55;1930.6061
3;7;2;17;156;179;10.197321
3;8;1;496;60;55;864.24242
3;8;2;25;156;179;14.996061
3;9;1;931;60;55;1622.197
3;9;2;18;156;179;10.797164
3;1;1;1025;60;55;1785.9848
3;1;2;444;156;179;266.33004
3;2;1;62;60;55;108.0303
3;2;2;43;156;179;25.793224
3;3;1;151;60;55;263.10606
3;3;2;0;156;179;0
3;4;1;2;60;55;3.4848485
3;4;2;37;156;179;22.19417
3;5;1;177;60;55;308.40909
3;5;2;31;156;179;18.595115
3;6;1;150;60;55;261.36364
3;6;2;70;156;179;41.98897
3;7;1;207;60;55;360.68182
3;7;2;16;156;179;9.5974789
3;8;1;241;60;55;419.92424
3;8;2;25;156;179;14.996061
3;9;1;168;60;55;292.72727
3;9;2;18;156;179;10.797164
3;1;1;448;60;55;780.60606
3;1;2;231;156;179;138.5636
3;2;1;10;60;55;17.424242
3;2;2;8;156;179;4.7987394
3;3;1;80;60;55;139.39394
3;3;2;0;156;179;0
3;4;1;331;60;55;576.74242
3;4;2;1;156;179;0.5998424
3;5;1;238;60;55;414.69697
3;5;2;0;156;179;0
3;6;1;221;60;55;385.07576
3;6;2;2;156;179;1.1996849
3;7;1;282;60;55;491.36364
3;7;2;0;156;179;0
3;8;1;98;60;55;170.75758
3;8;2;0;156;179;0
3;9;1;183;60;55;318.86364
3;9;2;0;156;179;0
3;1;1;533;60;55;928.71212
3;1;2;381;156;179;228.53997
3;2;1;15;60;55;26.136364
3;2;2;7;156;179;4.198897
3;3;1;64;60;55;111.51515
3;3;2;0;156;179;0
3;4;1;682;60;55;1188.3333
3;4;2;1;156;179;0.5998424
3;5;1;488;60;55;850.30303
3;5;2;0;156;179;0
3;6;1;458;60;55;798.0303
3;6;2;2;156;179;1.1996849
3;7;1;610;60;55;1062.8788
3;7;2;0;156;179;0
3;8;1;284;60;55;494.84848
3;8;2;0;156;179;0
3;9;1;247;60;55;430.37879
3;9;2;0;156;179;0
3;1;1;409;60;55;712.65152
3;1;2;572;156;179;343.10987
3;2;1;171;60;55;297.95455
3;2;2;42;156;179;25.193382
3;3;1;2;60;55;3.4848485
3;3;2;0;156;179;0
3;4;1;7;60;55;12.19697
3;4;2;37;156;179;22.19417
3;5;1;15;60;55;26.136364
3;5;2;31;156;179;18.595115
3;6;1;413;60;55;719.62121
3;6;2;70;156;179;41.98897
3;7;1;115;60;55;200.37879
3;7;2;17;156;179;10.197321
3;8;1;123;60;55;214.31818
3;8;2;25;156;179;14.996061
3;9;1;30;60;55;52.272727
3;9;2;18;156;179;10.797164
4;1;1;5620;4615;4615;121.77681
4;1;2;17567;11684;11684;150.35091
4;2;1;5620;4615;4615;121.77681
4;2;2;17567;11684;11684;150.35091
4;3;1;5620;4615;4615;121.77681
4;3;2;17567;11684;11684;150.35091
4;4;1;5620;4615;4615;121.77681
4;4;2;17567;11684;11684;150.35091
4;5;1;5620;4615;4615;121.77681
4;5;2;17567;11684;11684;150.35091
4;6;1;5620;4615;4615;121.77681
4;6;2;17567;11684;11684;150.35091
4;7;1;5620;4615;4615;121.77681
4;7;2;17567;11684;11684;150.35091
4;8;1;5620;4615;4615;121.77681
4;8;2;17567;11684;11684;150.35091
4;9;1;5620;4615;4615;121.77681
4;9;2;17567;11684;11684;150.35091
4;1;1;5620;4615;4615;121.77681
4;1;2;17567;11684;11684;150.35091
4;2;1;5620;4615;4615;121.77681
4;2;2;17567;11684;11684;150.35091
4;3;1;5620;4615;4615;121.77681
4;3;2;17567;11684;11684;150.35091
4;4;1;5620;4615;4615;121.77681
4;4;2;17567;11684;11684;150.35091
4;5;1;5620;4615;4615;121.77681
4;5;2;17567;11684;11684;150.35091
4;6;1;5620;4615;4615;121.77681
4;6;2;17567;11684;11684;150.35091
4;7;1;5620;4615;4615;121.77681
4;7;2;17567;11684;11684;150.35091
4;8;1;5620;4615;4615;121.77681
4;8;2;17567;11684;11684;150.35091
4;9;1;5620;4615;4615;121.77681
4;9;2;17567;11684;11684;150.35091
4;1;1;5620;4615;4615;121.77681
4;1;2;17567;11684;11684;150.35091
4;2;1;5620;4615;4615;121.77681
4;2;2;17567;11684;11684;150.35091
4;3;1;5620;4615;4615;121.77681
4;3;2;17567;11684;11684;150.35091
4;4;1;5620;4615;4615;121.77681
4;4;2;17567;11684;11684;150.35091
4;5;1;5620;4615;4615;121.77681
4;5;2;17567;11684;11684;150.35091
4;6;1;5620;4615;4615;121.77681
4;6;2;17567;11684;11684;150.35091
4;7;1;5620;4615;4615;121.77681
4;7;2;17567;11684;11684;150.35091
4;8;1;5620;4615;4615;121.77681
4;8;2;17567;11684;11684;150.35091
4;9;1;5620;4615;4615;121.77681
