temps,distance,vide,minMax,falseTrue
0,90,0,1,1
1676025256,79.870000000000004547474,0,1,1
1676025256,79.93000000000000682121,0,1,1
1676025256,79.920000000000001705303,0,1,1
1676025256,79.900000000000005684342,0,1,1
1676025256,79.900000000000005684342,0,1,1
1676025256,79.920000000000001705303,0,1,1
1676025256,79.920000000000001705303,0,1,1
1676025256,79.920000000000001705303,0,1,1
1676025256,79.909999999999996589395,0,1,1
1676025256,79.879999999999995452526,0,1,1
1676025256,79.909999999999996589395,0,1,1
1676025256,79.920000000000001705303,0,1,1
1676025256,79.920000000000001705303,0,1,1
1676025257,79.909999999999996589395,0,1,1
1676025257,79.900000000000005684342,0,1,1
1676025257,79.879999999999995452526,0,1,1
1676025257,79.909999999999996589395,0,1,1
1676025257,79.920000000000001705303,0,1,1
1676025257,79.900000000000005684342,0,1,1
1676025257,79.93000000000000682121,0,1,1
1676025257,79.879999999999995452526,0,1,1
1676025257,79.909999999999996589395,0,1,1
1676025257,79.900000000000005684342,0,1,1
1676025257,79.93000000000000682121,0,1,1
1676025257,79.920000000000001705303,0,1,1
1676025257,79.890000000000000568434,0,1,1
1676025257,79.870000000000004547474,0,1,1
1676025257,79.849999999999994315658,0,1,1
1676025257,79.909999999999996589395,0,1,1
1676025257,79.890000000000000568434,0,1,1
1676025257,79.93000000000000682121,0,1,1
1676025257,79.890000000000000568434,0,1,1
1676025257,79.890000000000000568434,0,1,1
1676025258,79.879999999999995452526,0,1,1
1676025258,79.900000000000005684342,0,1,1
1676025258,79.879999999999995452526,0,1,1
1676025258,79.909999999999996589395,0,1,1
1676025258,79.900000000000005684342,0,1,1
1676025258,79.900000000000005684342,0,1,1
1676025258,79.909999999999996589395,0,1,1
1676025258,79.879999999999995452526,0,1,1
1676025258,79.909999999999996589395,0,1,1
1676025258,79.909999999999996589395,0,1,1
1676025258,79.900000000000005684342,0,1,1
1676025258,79.879999999999995452526,0,1,1
1676025258,79.900000000000005684342,0,1,1
1676025258,79.900000000000005684342,0,1,1
1676025258,79.900000000000005684342,0,1,1
1676025258,79.879999999999995452526,0,1,1
1676025258,79.870000000000004547474,0,1,1
1676025258,79.909999999999996589395,0,1,1
1676025258,79.920000000000001705303,0,1,1
1676025258,79.909999999999996589395,0,1,1
1676025259,79.93000000000000682121,0,1,1
1676025259,79.93000000000000682121,0,1,1
1676025259,79.879999999999995452526,0,1,1
1676025259,79.93000000000000682121,0,1,1
1676025259,79.900000000000005684342,0,1,1
1676025259,79.93000000000000682121,0,1,1
1676025259,79.920000000000001705303,0,1,1
1676025259,79.939999999999997726263,0,1,1
1676025259,79.909999999999996589395,0,1,1
1676025259,79.939999999999997726263,0,1,1
1676025259,79.909999999999996589395,0,1,1
1676025259,79.909999999999996589395,0,1,1
1676025259,79.920000000000001705303,0,1,1
1676025259,79.93000000000000682121,0,1,1
1676025259,79.909999999999996589395,0,1,1
1676025259,79.879999999999995452526,0,1,1
1676025259,79.890000000000000568434,0,1,1
