timestamp,DistanceBrute,DistanceMoy,minMax,FalseTrue
9057052,0,0,,
9057149,688,677,1400,0
9057157,78,0,0,
9057253,634,676,1400,0
9057353,646,671,1400,0
9057384,646,669,0,0
9057416,646,668,0,0
9057453,660,668,1400,0
9057486,660,669,0,0
9057554,0,,,
9057554,684,668,1400,0
9057585,684,668,0,0
9057723,703,669,1400,0
9057723,0,,,
9057824,657,662,0,0
9057856,657,660,0,0
9057896,657,658,0,0
9057928,642,659,1400,0
9057928,642,659,0,0
9057992,677,661,1400,0
9058024,704,665,1400,0
9058064,696,668,1400,0
9058096,696,670,0,0
9058128,696,673,0,0
9058202,6,676,0,0
9058226,696,676,0,0
9058262,682,675,1400,0
9058302,651,675,1400,0
9058327,666,675,1400,0
9058397,666,676,0,0
9058424,666,677,0,0
9058440,666,678,0,0
9058468,666,680,0,0
9058492,686,680,1400,0
9058507,732,684,0,0
9058606,732,687,0,0
9058637,678,683,0,0
9058705,643,681,1400,0
9058737,634,680,1400,0
9058769,677,680,1400,0
9058809,677,681,0,0
9058842,557,,,
9058842,677,682,0,0
9058874,663,681,1400,0
9058908,663,681,0,0
9058941,663,681,0,0
9058978,678,681,1400,0
9059010,678,677,0,0
9059042,678,674,0,0
9059075,678,670,0,0
9059115,640,668,1400,0
9059147,640,666,0,0
9059179,637,663,1400,0
9059211,662,661,1400,0
9059243,662,662,0,0
9059283,662,664,0,0
9059315,690,665,1400,0
9059375,690,666,0,0
9059449,667,1400,0,
9059484,682,669,1400,0
9059516,682,670,0,0
9059620,682,670,0,0
9059652,602,665,1400,0
9059684,602,660,0,0
9059723,660,1400,0,
9059758,695,663,1400,0
9059816,698,667,1400,0
9059847,698,671,0,0
9059892,13,674,1400,0
9059924,660,674,1400,0
9059956,689,675,1400,0
9059996,643,672,1400,0
9060036,0,,,
9060036,667,674,1400,0
9060060,667,673,0,0
9060195,0,,,
9060195,664,675,0,0
9060227,664,679,0,0
9060301,664,679,0,0
9060333,664,677,0,0
9060365,686,677,1400,0
9060389,686,676,0,0
9060430,651,672,1400,0
9060461,650,671,1400,0
9060501,685,671,1400,0
9060533,685,674,0,0
9060668,650,671,1400,0
9060700,650,667,0,0
9060772,683,667,1400,0
9060804,683,667,0,0
9060875,3,669,0,0
9060907,683,671,0,0
9060907,683,672,0,0
9060939,683,673,0,0
9060972,683,673,0,0
9061003,661,671,1400,0
9061043,706,675,1400,0
9061075,661,675,1400,0
9061108,661,674,0,0
9061140,661,672,0,0
9061180,676,1400,0,
9061212,698,679,1400,0
9061244,698,682,0,0
9061276,0,683,1400,0
9061316,642,681,1400,0
9061344,720,683,1400,0
9061373,707,685,1400,0
9061405,665,683,1400,0
9061444,692,684,1400,0
9061478,679,684,1400,0
9061511,698,685,1400,0
9061576,698,687,0,0
9061607,641,685,1400,0
9061648,641,684,0,0
9061752,701,684,1400,0
9061784,713,685,1400,0
9061817,684,684,1400,0
9061924,690,684,0,0
9061954,690,686,0,0
9061990,699,686,1400,0
9062022,686,687,1400,0
9062054,702,687,1400,0
9062086,692,687,1400,0
9062124,692,686,0,0
9062156,92,690,0,0
9062188,698,693,1400,0
9062220,698,691,0,0
9062260,643,691,1400,0
9062289,693,690,1400,0
9062320,712,690,1400,0
9062360,670,689,1400,0
9062360,8,1400,0,
9062391,644,685,1400,0
9062423,674,684,1400,0
9062460,674,682,0,0
9062496,682,682,1400,0
9062530,682,681,0,0
9062562,681,1400,0,
9062594,653,678,1400,0
9062634,605,673,1400,0
9062666,605,667,0,0
9062789,605,661,0,0
9062832,703,665,1400,0
9062902,709,665,1400,0
9062934,679,666,1400,0
9062967,679,669,0,0
9063038,0,,,
9063038,679,668,0,0
9063070,679,669,0,0
9063102,679,669,0,0
9063134,679,669,0,0
9063166,728,672,1400,0
