Temps,Channel A Last (V),Channel B Last (V)
1670856926,1.013,0.089
1670856926,1.014,0.09
1670856926,1.013,0.094
1670856926,1.014,0.085
1670856926,1.015,0.093
1670856926,1.014,0.09
1670856926,1.015,0.084
1670856926,1.012,0.09
1670856926,1.012,0.093
1670856926,1.016,0.092
1670856926,1.013,0.095
1670856926,1.016,0.095
1670856926,1.015,0.093
1670856926,1.017,0.093
1670856926,1.012,0.09
1670856926,1.017,0.086
1670856926,1.013,0.09
1670856926,1.015,0.091
1670856927,1.012,0.086
1670856927,1.016,0.092
1670856927,1.016,0.094
1670856927,1.013,0.088
1670856927,1.013,0.09
1670856927,1.015,0.095
1670856927,1.018,0.08
1670856927,1.016,0.09
1670856927,1.015,0.088
1670856927,1.014,0.093
1670856927,1.026,0.099
1670856927,1.015,0.092
1670856927,1.016,0.092
1670856927,1.014,0.094
1670856927,1.018,0.085
1670856927,1.015,0.084
1670856927,1.017,0.091
1670856927,1.015,0.094
1670856927,1.014,0.089
1670856927,1.015,0.096
1670856928,1.018,0.093
1670856928,1.012,0.091
1670856928,1.017,0.082
1670856928,1.015,0.09
1670856928,1.017,0.093
1670856928,1.011,0.089
1670856928,1.016,0.094
1670856928,1.014,0.092
1670856928,1.016,0.1
1670856928,1.016,0.096
1670856928,1.021,0.089
1670856928,1.011,0.095
1670856928,1.016,0.082
1670856928,1.014,0.09
1670856928,1.013,0.096
1670856928,1.015,0.096
1670856928,1.019,0.085
1670856928,1.014,0.09
1670856928,1.019,0.094
1670856928,1.02,0.091
1670856929,1.014,0.098
1670856929,1.015,0.09
1670856929,1.016,0.096
1670856929,1.017,0.092
1670856929,1.016,0.088
1670856929,1.017,0.089
1670856929,1.013,0.09
1670856929,1.013,0.098
1670856929,1.017,0.087
1670856929,1.014,0.097
1670856929,1.013,0.096
1670856929,1.014,0.097
1670856929,1.014,0.095
1670856929,1.013,0.091
1670856929,1.015,0.088
1670856929,1.016,0.088
1670856929,1.013,0.096
1670856929,1.016,0.1
1670856929,1.015,0.098
1670856929,1.015,0.091
1670856930,1.014,0.091
1670856930,1.014,0.102
1670856930,1.017,0.097
1670856930,1.013,0.093
1670856930,1.016,0.091
1670856930,1.012,0.092
1670856930,1.014,0.085
1670856930,1.015,0.09
1670856930,1.015,0.102
1670856930,1.016,0.094
1670856930,1.016,0.084
1670856930,1.016,0.102
1670856930,1.016,0.1
1670856930,1.014,0.094
1670856930,1.014,0.087
1670856930,1.016,0.097
1670856930,1.014,0.088
1670856930,1.018,0.093
1670856930,1.018,0.094
1670856930,1.015,0.09
1670856931,1.019,0.097
1670856931,1.016,0.101
1670856931,1.014,0.092
1670856931,1.017,0.097
1670856931,1.014,0.09
1670856931,1.014,0.089
1670856931,1.014,0.092
1670856931,1.016,0.086
1670856931,1.015,0.094
1670856931,1.015,0.089
1670856931,1.017,0.094
1670856931,1.014,0.096
1670856931,1.014,0.095
1670856931,1.015,0.094
1670856931,1.017,0.091
1670856931,1.016,0.084
1670856931,1.014,0.09
1670856931,1.016,0.094
1670856931,1.015,0.091
1670856931,1.017,0.089
1670856932,1.015,0.088
1670856932,1.013,0.09
1670856932,1.017,0.096
1670856932,1.017,0.09
1670856932,1.015,0.095
1670856932,1.015,0.087
1670856932,1.014,0.09
1670856932,1.014,0.092
1670856932,1.015,0.082
1670856932,1.013,0.093
1670856932,1.018,0.092
1670856932,1.011,0.092
1670856932,1.012,0.1
1670856932,1.014,0.097
1670856932,1.013,0.097
1670856932,1.014,0.086
1670856932,1.016,0.091
1670856932,1.013,0.087
1670856932,1.013,0.097
1670856932,1.015,0.093
1670856933,1.017,0.093
1670856933,1.013,0.097
1670856933,1.015,0.097
1670856933,1.015,0.092
1670856933,1.013,0.097
1670856933,1.013,0.091
1670856933,1.016,0.095
1670856933,1.012,0.086
1670856933,1.016,0.094
1670856933,1.016,0.098
1670856933,1.013,0.094
1670856933,1.015,0.087
1670856933,1.018,0.1
1670856933,1.012,0.09
1670856933,1.013,0.091
1670856933,1.017,0.086
1670856933,1.013,0.088
1670856933,1.014,0.1
1670856933,1.013,0.098
1670856933,1.016,0.101
1670856934,1.011,0.088
1670856934,1.016,0.096
1670856934,1.016,0.099
1670856934,1.014,0.094
1670856934,1.017,0.088
1670856934,1.016,0.092
1670856934,1.014,0.096
1670856934,1.011,0.105
1670856934,1.011,0.102
1670856934,1.015,0.094
1670856934,1.016,0.091
1670856934,1.018,0.095
1670856934,1.013,0.092
1670856934,1.02,0.09
1670856934,1.015,0.102
1670856934,1.012,0.094
1670856934,1.012,0.092
1670856934,1.017,0.092
1670856934,1.013,0.101
1670856934,1.015,0.097
1670856935,1.016,0.097
1670856935,1.015,0.09
1670856935,1.009,0.099
1670856935,1.015,0.084
1670856935,1.014,0.095
1670856935,1.016,0.093
1670856935,1.017,0.095
1670856935,1.013,0.093
1670856935,1.014,0.094
1670856935,1.018,0.09
1670856935,1.014,0.095
1670856935,1.011,0.103
1670856935,1.015,0.092
1670856935,1.019,0.096
1670856935,1.015,0.089
1670856935,1.011,0.097
1670856935,1.017,0.096
1670856935,1.017,0.098
1670856935,1.014,0.093
1670856935,1.015,0.086
1670856936,1.016,0.084
1670856936,1.016,0.084
1670856936,1.015,0.089
1670856936,1.018,0.093
1670856936,1.017,0.094
1670856936,1.016,0.098
1670856936,1.015,0.095
1670856936,1.015,0.105
1670856936,1.014,0.064
1670856936,1.009,0.093
1670856936,1.014,0.084
1670856936,1.015,0.099
1670856936,1.013,0.112
1670856936,1.017,0.083
1670856936,1.017,0.088
1670856936,1.011,0.093
1670856936,1.015,0.088
1670856936,1.013,0.086
1670856936,1.018,0.09
1670856936,1.016,0.109
1670856937,1.013,0.079
1670856937,1.018,0.107
1670856937,1.016,0.093
1670856937,1.018,0.094
1670856937,1.015,0.096
1670856937,1.014,0.082
1670856937,1.014,0.104
1670856937,1.015,0.096
1670856937,1.012,0.08
1670856937,1.014,0.118
1670856937,1.016,0.091
1670856937,1.015,0.057
1670856937,1.013,0.105
1670856937,1.014,0.082
1670856937,1.015,0.1
1670856937,1.015,0.09
1670856937,1.016,0.111
1670856937,1.016,0.103
1670856937,1.018,0.107
1670856937,1.013,0.028
1670856938,1.018,0.116
1670856938,1.016,0.095
1670856938,1.017,0.068
1670856938,1.015,0.075
1670856938,1.019,0.078
1670856938,1.015,0.119
1670856938,1.015,0.102
1670856938,1.02,0.107
1670856938,1.016,0.119
1670856938,1.018,0.097
1670856938,1.023,0.093
1670856938,1.015,0.117
1670856938,1.015,0.072
1670856938,1.014,0.081
1670856938,1.015,0.083
1670856938,1.015,0.126
1670856938,1.014,0.055
1670856938,1.015,0.08
1670856938,1.015,0.09
1670856938,1.013,0.071
1670856939,1.013,0.091
1670856939,1.013,0.119
1670856939,1.015,0.081
1670856939,1.013,0.086
1670856939,1.018,0.11
1670856939,1.013,0.081
1670856939,1.018,0.097
1670856939,1.016,0.112
1670856939,1.014,0.11
1670856939,1.012,0.056
1670856939,1.017,0.066
1670856939,1.017,0.139
1670856939,1.016,0.075
1670856939,1.017,0.076
1670856939,1.017,0.073
1670856939,1.011,0.094
1670856939,1.014,0.072
1670856939,1.014,0.108
1670856939,1.017,0.129
1670856939,1.017,0.112
1670856940,1.015,0.071
1670856940,1.016,0.097
1670856940,1.014,0.055
1670856940,1.017,0.133
1670856940,1.015,0.095
1670856940,1.016,0.147
1670856940,1.014,0.065
1670856940,1.015,0.082
1670856940,1.017,0.062
1670856940,1.017,0.143
1670856940,1.017,0.115
1670856940,1.021,0.144
1670856940,1.014,0.134
1670856940,1.017,0.151
1670856940,1.014,0.127
1670856940,1.017,0.13
1670856940,1.017,0.104
1670856940,1.017,0.102
1670856940,1.014,0.055
1670856940,1.015,0.081
1670856941,1.015,0.095
1670856941,1.015,0.081
1670856941,1.018,0.136
1670856941,1.017,0.075
1670856941,1.011,0.059
1670856941,1.016,0.124
1670856941,1.014,0.024
1670856941,1.017,0.1
1670856941,1.016,0.117
1670856941,1.015,0.105
1670856941,1.014,0.057
1670856941,1.016,0.005
1670856941,1.015,0.075
1670856941,1.015,0.103
1670856941,1.015,0.091
1670856941,1.017,0.082
1670856941,1.015,0.081
1670856941,1.015,0.103
1670856941,1.018,0.096
1670856941,1.014,0.113
1670856942,1.016,0.089
1670856942,1.016,0.125
1670856942,1.016,0.099
1670856942,1.015,0.105
1670856942,1.156,0.095
1670856942,2.456,0.087
1670856942,2.449,0.106
1670856942,2.449,0.102
1670856942,2.45,0.099
1670856942,2.447,0.07
1670856942,2.45,0.071
1670856942,2.452,0.108
1670856942,2.449,0.075
1670856942,2.448,0.095
1670856942,2.451,0.083
1670856942,2.448,0.069
1670856942,2.45,0.061
1670856942,2.449,0.092
1670856942,2.307,0.096
1670856942,1.014,0.095
1670856943,1.014,0.086
1670856943,1.016,0.078
1670856943,1.019,0.099
1670856943,1.017,0.09
1670856943,1.016,4.462
1670856943,1.013,8.211
1670856943,1.015,8.214
1670856943,1.013,8.207
1670856943,1.014,8.218
1670856943,1.013,8.211
1670856943,1.014,8.213
1670856943,1.014,8.217
1670856943,1.013,8.215
1670856943,1.014,8.213
1670856943,1.013,8.209
1670856943,1.013,8.216
1670856943,1.012,2.695
1670856943,1.013,0.091
1670856943,1.017,0.088
1670856943,1.016,0.095
1670856944,1.014,0.091
1670856944,1.013,0.089
1670856944,1.012,0.094
1670856944,1.016,0.097
1670856944,1.015,0.098
1670856944,1.012,0.098
1670856944,1.017,0.099
1670856944,1.016,0.092
1670856944,1.014,0.096
1670856944,1.017,0.089
1670856944,1.849,0.096
1670856944,2.451,0.087
1670856944,2.448,0.092
1670856944,2.448,0.094
1670856944,2.449,0.091
1670856944,2.451,0.091
1670856944,2.449,0.091
1670856944,2.451,0.088
1670856944,2.447,0.092
1670856944,2.451,0.093
1670856945,2.449,0.089
1670856945,2.448,0.095
1670856945,2.446,0.1
1670856945,2.45,0.091
1670856945,2.394,0.092
1670856945,1.012,0.092
1670856945,1.013,0.086
1670856945,1.015,0.092
1670856945,1.014,0.096
1670856945,1.012,0.084
1670856945,1.018,7.725
1670856945,1.014,8.212
1670856945,1.014,8.21
1670856945,1.557,8.219
1670856945,2.446,8.209
1670856945,2.448,8.216
1670856945,2.45,8.212
1670856945,2.45,8.218
1670856945,2.448,8.208
1670856945,2.449,8.215
1670856946,2.448,8.211
1670856946,2.448,8.22
1670856946,2.45,7.728
1670856946,2.45,0.092
1670856946,2.451,0.087
1670856946,2.453,0.093
1670856946,2.45,0.093
1670856946,2.447,0.087
1670856946,1.638,0.101
1670856946,1.016,0.098
1670856946,1.013,0.094
1670856946,1.017,0.09
1670856946,1.014,0.094
1670856946,1.011,4.297
1670856946,1.011,8.214
1670856946,1.015,8.21
1670856946,1.014,8.215
1670856946,1.014,8.221
1670856946,1.015,8.207
1670856946,1.016,8.219
1670856947,1.014,8.218
1670856947,1.014,8.219
1670856947,1.011,8.225
1670856947,1.017,8.217
1670856947,1.012,8.213
1670856947,1.014,8.213
1670856947,1.016,0.256
1670856947,1.013,0.094
1670856947,1.017,0.092
1670856947,1.013,0.094
1670856947,1.014,0.09
1670856947,1.012,0.093
1670856947,1.013,0.096
1670856947,1.014,0.097
1670856947,1.015,0.092
1670856947,1.015,0.096
1670856947,1.014,0.096
1670856947,1.015,0.091
1670856947,1.014,0.089
1670856947,1.015,0.089
1670856948,1.014,0.093
1670856948,1.017,0.086
1670856948,1.016,0.097
1670856948,1.015,0.096
1670856948,1.017,0.083
1670856948,1.014,0.086
1670856948,1.014,0.097
1670856948,1.016,0.09
1670856948,1.016,0.088
1670856948,1.013,0.091
1670856948,1.017,0.096
1670856948,1.016,0.092
1670856948,1.015,0.099
1670856948,1.012,0.095
1670856948,1.012,0.093
1670856948,1.013,0.088
1670856948,1.014,0.094
1670856948,1.013,0.093
1670856948,1.013,0.093
1670856948,1.015,0.09
1670856949,1.019,0.103
1670856949,1.011,0.096
1670856949,1.014,0.095
1670856949,1.016,0.096
1670856949,1.015,0.09
1670856949,1.016,0.091
1670856949,1.016,0.094
1670856949,1.013,0.093
1670856949,1.014,0.102
1670856949,1.014,0.088
1670856949,1.015,0.098
1670856949,1.015,0.094
1670856949,1.016,0.103
1670856949,1.013,0.097
1670856949,1.016,0.083
1670856949,1.012,0.093
1670856949,1.015,0.093
1670856949,1.013,0.093
1670856949,1.015,0.093
1670856949,1.012,0.097
1670856950,1.012,0.09
1670856950,1.012,0.095
1670856950,1.016,0.092
1670856950,1.015,0.099
1670856950,1.015,0.095
1670856950,1.014,0.09
1670856950,1.019,0.086
1670856950,1.016,0.086
1670856950,1.016,0.101
1670856950,1.016,0.085
1670856950,1.016,0.096
1670856950,1.014,0.098
1670856950,1.015,0.1
1670856950,1.016,0.094
1670856950,1.018,0.095
1670856950,1.014,0.095
1670856950,1.017,0.093
1670856950,1.015,0.088
1670856950,1.017,0.087
1670856950,1.015,0.091
1670856951,1.01,0.101
1670856951,1.015,0.088
1670856951,1.016,0.086
1670856951,1.013,0.095
1670856951,1.016,0.09
1670856951,1.014,0.092
1670856951,1.016,0.094
1670856951,1.017,0.092
1670856951,1.015,0.092
1670856951,1.015,0.093
1670856951,1.014,0.091
1670856951,1.016,0.084
1670856951,1.015,0.099
1670856951,1.013,0.091
1670856951,1.012,0.092
1670856951,1.015,0.09
1670856951,1.017,0.093
1670856951,1.017,0.09
1670856951,1.019,0.092
1670856951,1.016,0.089
1670856952,1.013,0.092
1670856952,1.015,0.093
1670856952,1.016,0.086
1670856952,1.016,0.095
1670856952,1.015,0.094
1670856952,1.016,0.089
1670856952,1.014,0.099
1670856952,1.017,0.094
1670856952,1.014,0.097
1670856952,1.015,0.094
1670856952,1.016,0.091
1670856952,1.016,0.088
1670856952,1.017,0.096
1670856952,1.018,0.096
1670856952,1.018,0.086
1670856952,1.017,0.096
1670856952,1.014,0.097
1670856952,1.018,0.096
1670856952,1.016,0.112
1670856952,1.013,0.102
1670856953,1.017,0.104
1670856953,1.014,0.08
1670856953,1.016,0.113
1670856953,1.017,0.113
1670856953,1.015,0.104
1670856953,1.016,0.096
1670856953,1.018,0.094
1670856953,1.015,0.097
1670856953,1.016,0.103
1670856953,1.016,0.099
1670856953,1.015,0.099
1670856953,1.015,0.078
1670856953,1.019,0.126
1670856953,1.018,0.097
1670856953,1.015,0.068
1670856953,1.018,0.093
1670856953,1.014,0.098
1670856953,1.016,0.103
1670856953,1.017,0.117
1670856953,1.015,0.106
1670856954,1.018,0.098
1670856954,1.015,0.116
1670856954,1.015,0.124
1670856954,1.017,0.075
1670856954,1.018,0.088
1670856954,1.016,0.085
1670856954,1.016,0.08
1670856954,1.019,0.142
1670856954,1.017,0.126
1670856954,1.017,0.053
1670856954,1.017,0.097
1670856954,1.014,0.091
1670856954,1.016,0.085
1670856954,1.016,0.062
1670856954,1.016,0.047
1670856954,1.015,0.094
1670856954,1.016,0.118
1670856954,1.013,0.099
1670856954,1.016,0.129
1670856954,1.015,0.073
1670856955,1.017,0.078
1670856955,1.014,0.109
1670856955,1.016,0.088
1670856955,1.015,0.065
1670856955,1.014,0.087
1670856955,1.015,0.118
1670856955,1.014,0.113
1670856955,1.012,0.029
1670856955,1.009,0.071
1670856955,1.012,0.08
1670856955,1.013,0.086
1670856955,1.018,0.1
1670856955,1.016,0.11
1670856955,1.014,0.082
1670856955,1.016,0.11
1670856955,1.017,0.12
1670856955,1.017,0.111
1670856955,1.016,0.107
1670856955,1.018,0.095
1670856955,1.02,0.112
1670856956,1.016,0.1
1670856956,1.014,0.078
1670856956,1.017,0.116
1670856956,1.013,0.09
1670856956,1.015,0.12
1670856956,1.018,0.074
1670856956,1.018,0.114
1670856956,1.018,0.097
1670856956,1.015,0.078
1670856956,1.013,0.079
1670856956,1.015,0.109
1670856956,1.017,0.097
1670856956,1.019,0.127
1670856956,1.014,0.05
1670856956,1.017,0.111
1670856956,1.017,0.081
1670856956,1.015,0.08
1670856956,1.017,0.12
1670856956,1.016,0.089
1670856956,1.018,0.151
1670856957,1.017,0.038
1670856957,1.016,0.112
1670856957,1.016,0.166
1670856957,1.012,0.057
1670856957,1.015,0.104
1670856957,1.017,0.117
1670856957,1.016,0.083
1670856957,1.016,0.05
1670856957,1.018,0.069
1670856957,1.004,-0.089
1670856957,1.015,0.073
1670856957,1.017,0.06
1670856957,1.016,0.115
1670856957,1.017,0.092
1670856957,1.012,0.042
1670856957,1.019,0.15
1670856957,1.016,0.145
1670856957,1.015,0.073
1670856957,1.014,0.099
1670856957,1.015,0.054
1670856958,1.017,0.081
1670856958,1.014,0.038
1670856958,1.015,0.079
1670856958,1.017,0.081
1670856958,1.015,0.077
1670856958,1.014,0.082
1670856958,1.014,0.111
1670856958,1.013,0.096
1670856958,1.013,0.096
1670856958,1.016,0.103
1670856958,1.015,0.054
1670856958,1.014,0.111
1670856958,1.014,0.082
