timestamp,brut,prepro,gauss full,detec,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
1681720223,31,31,24,0,,,
